   n        time         Cl         Cd         AoA         M
  575120    88.00028   0.6337286   0.0248155   5.0000000   0.4000000
  575140    88.00296   0.6338426   0.0255667   5.0000000   0.4000000
  575160    88.00561   0.6338975   0.0256126   5.0000000   0.4000000
  575180    88.00825   0.6338243   0.0255252   5.0000000   0.4000000
  575200    88.01089   0.6338625   0.0255219   5.0000000   0.4000000
  575220    88.01353   0.6336826   0.0254422   5.0000000   0.4000000
  575240    88.01617   0.6336854   0.0253310   5.0000000   0.4000000
  575260    88.01881   0.6335964   0.0252541   5.0000000   0.4000000
  575280    88.02146   0.6335666   0.0252003   5.0000000   0.4000000
  575300    88.02410   0.6334923   0.0251466   5.0000000   0.4000000
  575320    88.02674   0.6333805   0.0250787   5.0000000   0.4000000
  575340    88.02939   0.6333586   0.0250216   5.0000000   0.4000000
  575360    88.03203   0.6334389   0.0249926   5.0000000   0.4000000
  575380    88.03468   0.6334468   0.0249651   5.0000000   0.4000000
  575400    88.03733   0.6332253   0.0249047   5.0000000   0.4000000
  575420    88.03997   0.6329131   0.0248262   5.0000000   0.4000000
  575440    88.04262   0.6327231   0.0247630   5.0000000   0.4000000
  575460    88.04527   0.6326979   0.0247275   5.0000000   0.4000000
  575480    88.04791   0.6327414   0.0247103   5.0000000   0.4000000
  575500    88.05056   0.6327414   0.0246951   5.0000000   0.4000000
  575520    88.05321   0.6326452   0.0246700   5.0000000   0.4000000
  575540    88.05586   0.6324725   0.0246323   5.0000000   0.4000000
  575560    88.05851   0.6322763   0.0245867   5.0000000   0.4000000
  575580    88.06115   0.6321042   0.0245410   5.0000000   0.4000000
  575600    88.06380   0.6319877   0.0245036   5.0000000   0.4000000
  575620    88.06645   0.6319376   0.0244795   5.0000000   0.4000000
  575640    88.06910   0.6319373   0.0244675   5.0000000   0.4000000
  575660    88.07175   0.6319460   0.0244599   5.0000000   0.4000000
  575680    88.07440   0.6319186   0.0244479   5.0000000   0.4000000
  575700    88.07704   0.6318302   0.0244260   5.0000000   0.4000000
  575720    88.07969   0.6316880   0.0243953   5.0000000   0.4000000
  575740    88.08234   0.6315230   0.0243612   5.0000000   0.4000000
  575760    88.08499   0.6313705   0.0243299   5.0000000   0.4000000
  575780    88.08764   0.6312523   0.0243050   5.0000000   0.4000000
  575800    88.09029   0.6311703   0.0242864   5.0000000   0.4000000
  575820    88.09294   0.6311121   0.0242715   5.0000000   0.4000000
  575840    88.09559   0.6310620   0.0242575   5.0000000   0.4000000
  575860    88.09824   0.6310091   0.0242428   5.0000000   0.4000000
  575880    88.10089   0.6309480   0.0242269   5.0000000   0.4000000
  575900    88.10353   0.6308744   0.0242093   5.0000000   0.4000000
  575920    88.10618   0.6307820   0.0241889   5.0000000   0.4000000
  575940    88.10883   0.6306655   0.0241647   5.0000000   0.4000000
  575960    88.11148   0.6305261   0.0241367   5.0000000   0.4000000
  575980    88.11413   0.6303737   0.0241067   5.0000000   0.4000000
  576000    88.11678   0.6302237   0.0240777   5.0000000   0.4000000
  576020    88.11943   0.6300903   0.0240520   5.0000000   0.4000000
  576040    88.12208   0.6299807   0.0240311   5.0000000   0.4000000
  576060    88.12473   0.6298934   0.0240142   5.0000000   0.4000000
  576080    88.12738   0.6298188   0.0239996   5.0000000   0.4000000
  576100    88.13003   0.6297439   0.0239847   5.0000000   0.4000000
  576120    88.13267   0.6296580   0.0239677   5.0000000   0.4000000
  576140    88.13532   0.6295572   0.0239481   5.0000000   0.4000000
  576160    88.13797   0.6294442   0.0239265   5.0000000   0.4000000
  576180    88.14062   0.6293241   0.0239040   5.0000000   0.4000000
  576200    88.14327   0.6292017   0.0238813   5.0000000   0.4000000
  576220    88.14592   0.6290801   0.0238589   5.0000000   0.4000000
  576240    88.14857   0.6289616   0.0238371   5.0000000   0.4000000
  576260    88.15122   0.6288481   0.0238163   5.0000000   0.4000000
  576280    88.15387   0.6287413   0.0237969   5.0000000   0.4000000
  576300    88.15652   0.6286409   0.0237790   5.0000000   0.4000000
  576320    88.15917   0.6285456   0.0237623   5.0000000   0.4000000
  576340    88.16182   0.6284535   0.0237465   5.0000000   0.4000000
  576360    88.16446   0.6283631   0.0237313   5.0000000   0.4000000
  576380    88.16711   0.6282727   0.0237162   5.0000000   0.4000000
  576400    88.16976   0.6281806   0.0237009   5.0000000   0.4000000
  576420    88.17241   0.6280857   0.0236852   5.0000000   0.4000000
  576440    88.17506   0.6279894   0.0236694   5.0000000   0.4000000
  576460    88.17771   0.6278948   0.0236542   5.0000000   0.4000000
  576480    88.18036   0.6278038   0.0236400   5.0000000   0.4000000
  576500    88.18301   0.6277156   0.0236264   5.0000000   0.4000000
  576520    88.18566   0.6276275   0.0236129   5.0000000   0.4000000
  576540    88.18831   0.6275378   0.0235991   5.0000000   0.4000000
  576560    88.19096   0.6274468   0.0235850   5.0000000   0.4000000
  576580    88.19361   0.6273570   0.0235713   5.0000000   0.4000000
  576600    88.19625   0.6272714   0.0235587   5.0000000   0.4000000
  576620    88.19890   0.6271923   0.0235478   5.0000000   0.4000000
  576640    88.20155   0.6271191   0.0235385   5.0000000   0.4000000
  576660    88.20420   0.6270486   0.0235299   5.0000000   0.4000000
  576680    88.20685   0.6269762   0.0235211   5.0000000   0.4000000
  576700    88.20950   0.6268977   0.0235110   5.0000000   0.4000000
  576720    88.21215   0.6268113   0.0234992   5.0000000   0.4000000
  576740    88.21480   0.6267176   0.0234860   5.0000000   0.4000000
  576760    88.21745   0.6266196   0.0234719   5.0000000   0.4000000
  576780    88.22010   0.6265214   0.0234579   5.0000000   0.4000000
  576800    88.22274   0.6264264   0.0234445   5.0000000   0.4000000
  576820    88.22539   0.6263361   0.0234322   5.0000000   0.4000000
  576840    88.22804   0.6262493   0.0234205   5.0000000   0.4000000
  576860    88.23069   0.6261636   0.0234091   5.0000000   0.4000000
  576880    88.23334   0.6260775   0.0233974   5.0000000   0.4000000
  576900    88.23599   0.6259911   0.0233855   5.0000000   0.4000000
  576920    88.23864   0.6259056   0.0233738   5.0000000   0.4000000
  576940    88.24129   0.6258222   0.0233624   5.0000000   0.4000000
  576960    88.24394   0.6257409   0.0233514   5.0000000   0.4000000
  576980    88.24658   0.6256613   0.0233406   5.0000000   0.4000000
  577000    88.24923   0.6255822   0.0233299   5.0000000   0.4000000
  577020    88.25188   0.6255033   0.0233190   5.0000000   0.4000000
  577040    88.25453   0.6254247   0.0233080   5.0000000   0.4000000
  577060    88.25718   0.6253473   0.0232972   5.0000000   0.4000000
  577080    88.25983   0.6252725   0.0232868   5.0000000   0.4000000
  577100    88.26248   0.6252013   0.0232771   5.0000000   0.4000000
  577120    88.26513   0.6251334   0.0232678   5.0000000   0.4000000
  577140    88.26778   0.6250679   0.0232587   5.0000000   0.4000000
  577160    88.27042   0.6250029   0.0232494   5.0000000   0.4000000
  577180    88.27307   0.6249367   0.0232394   5.0000000   0.4000000
  577200    88.27572   0.6248681   0.0232286   5.0000000   0.4000000
  577220    88.27837   0.6247971   0.0232168   5.0000000   0.4000000
  577240    88.28102   0.6247250   0.0232045   5.0000000   0.4000000
  577260    88.28367   0.6246546   0.0231921   5.0000000   0.4000000
  577280    88.28632   0.6245885   0.0231804   5.0000000   0.4000000
  577300    88.28896   0.6245279   0.0231695   5.0000000   0.4000000
  577320    88.29161   0.6244717   0.0231594   5.0000000   0.4000000
  577340    88.29426   0.6244168   0.0231491   5.0000000   0.4000000
  577360    88.29691   0.6243597   0.0231380   5.0000000   0.4000000
  577380    88.29956   0.6242984   0.0231256   5.0000000   0.4000000
  577400    88.30221   0.6242334   0.0231121   5.0000000   0.4000000
  577420    88.30486   0.6241673   0.0230979   5.0000000   0.4000000
  577440    88.30750   0.6241038   0.0230841   5.0000000   0.4000000
  577460    88.31015   0.6240458   0.0230712   5.0000000   0.4000000
  577480    88.31280   0.6239940   0.0230595   5.0000000   0.4000000
  577500    88.31545   0.6239473   0.0230487   5.0000000   0.4000000
  577520    88.31810   0.6239029   0.0230381   5.0000000   0.4000000
  577540    88.32075   0.6238583   0.0230272   5.0000000   0.4000000
  577560    88.32340   0.6238123   0.0230158   5.0000000   0.4000000
  577580    88.32604   0.6237652   0.0230038   5.0000000   0.4000000
  577600    88.32869   0.6237184   0.0229917   5.0000000   0.4000000
  577620    88.33134   0.6236738   0.0229799   5.0000000   0.4000000
  577640    88.33399   0.6236327   0.0229686   5.0000000   0.4000000
  577660    88.33664   0.6235957   0.0229582   5.0000000   0.4000000
  577680    88.33929   0.6235627   0.0229485   5.0000000   0.4000000
  577700    88.34194   0.6235328   0.0229394   5.0000000   0.4000000
  577720    88.34458   0.6235048   0.0229307   5.0000000   0.4000000
  577740    88.34723   0.6234781   0.0229220   5.0000000   0.4000000
  577760    88.34988   0.6234529   0.0229135   5.0000000   0.4000000
  577780    88.35253   0.6234299   0.0229053   5.0000000   0.4000000
  577800    88.35518   0.6234107   0.0228977   5.0000000   0.4000000
  577820    88.35783   0.6233965   0.0228909   5.0000000   0.4000000
  577840    88.36048   0.6233887   0.0228853   5.0000000   0.4000000
  577860    88.36312   0.6233878   0.0228809   5.0000000   0.4000000
  577880    88.36577   0.6233937   0.0228776   5.0000000   0.4000000
  577900    88.36842   0.6234055   0.0228753   5.0000000   0.4000000
  577920    88.37107   0.6234225   0.0228736   5.0000000   0.4000000
  577940    88.37372   0.6234438   0.0228724   5.0000000   0.4000000
  577960    88.37637   0.6234695   0.0228715   5.0000000   0.4000000
  577980    88.37902   0.6235000   0.0228709   5.0000000   0.4000000
  578000    88.38166   0.6235360   0.0228708   5.0000000   0.4000000
  578020    88.38431   0.6235781   0.0228711   5.0000000   0.4000000
  578040    88.38696   0.6236265   0.0228720   5.0000000   0.4000000
  578060    88.38961   0.6236817   0.0228733   5.0000000   0.4000000
  578080    88.39226   0.6237439   0.0228752   5.0000000   0.4000000
  578100    88.39491   0.6238135   0.0228779   5.0000000   0.4000000
